Transaction ID,Transaction Time,Sender ID,Receiver ID,Amount,Currency,Currency Hash,Currency Type,Amount [USD],Receiver Type,Label,Gas Price,Gas Limit,Gas Used
0x93b0611af943755018561b03d16080243be62a3284f5e97dbc42cc5a55b8e49b10,2021-10-29 23:56:38 +0000,0xba12222222228d8ba445958a75a0704d566bf2c9,0x579d9d1e1c2066bc6fa52820b915a35fb6cc6da1,17.92414551,CUR2,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,ERC20,442.17,Wallet,0,1.64E-07,130527,112825
0x93b0611af943755018561b03d16080243be62a3284f5e97dbc42cc5a55b8e49b11,2021-10-29 23:56:38 +0001,0xba12222222228d8ba445958a75a0704d566bf2c9,0x579d9d1e1c2066bc6fa52820b915a35fb6cc6da1,18.92414551,CUR1,0xba100000625a3754423978a60c9317c58a424e3d,ERC20,442.17,Smart Contract,0,1.64E-07,130527,112825
0x93b0611af943755018561b03d16080243be62a3284f5e97dbc42cc5a55b8e49b12,2021-10-29 23:56:38 +0002,0xba12222222228d8ba445958a75a0704d566bf2c9,0x579d9d1e1c2066bc6fa52820b915a35fb6cc6da1,19.92414551,CUR1,0xba100000625a3754423978a60c9317c58a424e3d,ERC20,442.17,Smart Contract,0,1.64E-07,130527,112825
0x93b0611af943755018561b03d16080243be62a3284f5e97dbc42cc5a55b8e49b13,2021-10-29 23:56:38 +0003,0xba12222222228d8ba445958a75a0704d566bf2c9,0x579d9d1e1c2066bc6fa52820b915a35fb6cc6da1,13.92414551,CUR1,0xba100000625a3754423978a60c9317c58a424e3d,ERC20,442.17,Wallet,0,1.64E-07,130527,112825
0x93b0611af943755018561b03d16080243be62a3284f5e97dbc42cc5a55b8e49b14,2021-10-29 23:56:38 +0004,0xba12222222228d8ba445958a75a0704d566bf2c9,0x579d9d1e1c2066bc6fa52820b915a35fb6cc6da1,15.92414551,CUR1,0xba100000625a3754423978a60c9317c58a424e3d,ERC20,442.17,Wallet,0,1.64E-07,130527,112825
0x93b0611af943755018561b03d16080243be62a3284f5e97dbc42cc5a55b8e49b13,2021-10-29 23:56:38 +0003,0xba12222222228d8ba445958a75a0704d566bf2c9,0x07e54e08f7e6ad85916ab549a9287b1134c31df5,1.80043876,CUR1,0xba100000625a3754423978a60c9317c58a424e3d,ERC20,110563.55,Wallet,0,1.29E-07,286426,199902
0x93b0611af943755018561b03d16080243be62a3284f5e97dbc42cc5a55b8e49b13,2021-10-29 23:56:38 +0003,0xba12222222228d8ba445958a75a0704d566bf2c9,0x07e54e08f7e6ad85916ab549a9287b1134c31df5,1.80043876,CUR1,0xba100000625a3754423978a60c9317c58a424e3d,ERC20,110563.55,Wallet,0,1.29E-07,286426,199902
0x93b0611af943755018561b03d16080243be62a3284f5e97dbc42cc5a55b8e49b13,2021-10-29 23:56:38 +0003,0xba12222222228d8ba445958a75a0704d566bf2c9,0x07e54e08f7e6ad85916ab549a9287b1134c31df5,1.80043876,CUR1,0xba100000625a3754423978a60c9317c58a424e3d,ERC20,110563.55,Wallet,0,1.29E-07,286426,199902
0x93b0611af943755018561b03d16080243be62a3284f5e97dbc42cc5a55b8e49b15,2021-10-29 23:56:38 +0005,0xba12222222228d8ba445958a75a0704d566bf2c9,0x3f3b7d0f3da05f6cd44e9d35a9517b59c83ad560,475980.4624,CUR2,0xba100000625a3754423978a60c9317c58a424e3d,ERC20,110563.55,Wallet,0,1.37E-07,120646,110949
0x93b0611af943755018561b03d16080243be62a3284f5e97dbc42cc5a55b8e49b16,2021-10-29 23:56:38 +0006,0xba12222222228d8ba445958a75a0704d566bf2c9,0x3f3b7d0f3da05f6cd44e9d35a9517b59c83ad560,475980.4624,CUR3,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,ERC20,110563.55,Smart Contract,0,1.37E-07,120646,110949
0x93b0611af943755018561b03d16080243be62a3284f5e97dbc42cc5a55b8e49b17,2021-10-29 23:56:38 +0007,0xba12222222228d8ba445958a75a0704d566bf2c9,0x3f3b7d0f3da05f6cd44e9d35a9517b59c83ad560,475980.4624,CUR4,0xa1cc9bbcd3731a9fd43e1f1416f9b6bf824f37d9,ERC20,110563.55,Smart Contract,0,1.37E-07,120646,110949
0x93b0611af943755018561b03d16080243be62a3284f5e97dbc42cc5a55b8e49b18,2021-10-29 23:56:38 +0008,0xba12222222228d8ba445958a75a0704d566bf2c9,0x3f3b7d0f3da05f6cd44e9d35a9517b59c83ad560,475980.4624,CUR5,0xa1cc9bbcd3731a9fd43e1f1416f9b6bf824f37d10,ERC20,110563.55,Smart Contract,0,1.37E-07,120646,110949
0x93b0611af943755018561b03d16080243be62a3284f5e97dbc42cc5a55b8e49b19,2021-10-29 23:56:38 +0009,0xba12222222228d8ba445958a75a0704d566bf2c9,0x3f3b7d0f3da05f6cd44e9d35a9517b59c83ad560,475981.4624,CUR5,0xa1cc9bbcd3731a9fd43e1f1416f9b6bf824f37d11,ERC20,110564.55,Smart Contract,0,1.37E-07,120646,110949
0x93b0611af943755018561b03d16080243be62a3284f5e97dbc42cc5a55b8e49b20,2021-10-29 23:56:38 +0010,0xba12222222228d8ba445958a75a0704d566bf2c9,0x3f3b7d0f3da05f6cd44e9d35a9517b59c83ad560,475982.4624,CUR6,0xa1cc9bbcd3731a9fd43e1f1416f9b6bf824f37d12,ERC20,110565.55,Smart Contract,0,1.37E-07,120646,110949
